"from","to","weight","pairID","pair_type","year","colony_size","colony_size_c","from_role","to_role","pair_type_2"
"A4F8","900E",0.461551683105482,"900E-A4F8","other",2013,22,-4.49157786180818,"rfid_off","rfid_off","other"
"A4F8","61B2",0.285787948730541,"61B2-A4F8","mother-daughter",2013,22,-4.49157786180818,"rfid_off","rfid_mom","mother-daughter"
"A4F8","94D3",0.117778496754494,"94D3-A4F8","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"A4F8","4F91",0.158012339201389,"4F91-A4F8","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"A4F8","775E",0.236932568616454,"775E-A4F8","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"A4F8","9900",0.200103128222757,"9900-A4F8","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"900E","61B2",0.307758415527409,"61B2-900E","other",2013,22,-4.49157786180818,"rfid_off","rfid_mom","mother-random-juvenile"
"900E","94D3",0.125128910278446,"900E-94D3","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"900E","4F91",0.222317711317367,"4F91-900E","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"900E","775E",0.285787948730541,"775E-900E","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"900E","9900",0.240089377793056,"900E-9900","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"61B2","94D3",0.363683240101253,"61B2-94D3","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"61B2","4F91",0.5,"4F91-61B2","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"61B2","775E",0.33339062679042,"61B2-775E","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"61B2","9900",0.117778496754494,"61B2-9900","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"5EBF3C","61B2",0.322641634970447,"5EBF3C-61B2","other",2014,24,-2.49157786180818,NA,"rfid_mom","other"
"5EBF3C","4D10",0.241468213985136,"4D10-5EBF3C","other",2014,24,-2.49157786180818,NA,"rfid_mom","other"
"5EBF3C","4FCA",0.341517913288448,"4FCA-5EBF3C","other",2014,24,-2.49157786180818,NA,"rfid_mom","other"
"5EBF3C","8712",0.319211105666201,"5EBF3C-8712","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"5EBF3C","1338",0.312564455139223,"1338-5EBF3C","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"5EBF3C","5876",0.300068752148505,"5876-5EBF3C","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"A1D2","61B2",0.428595982910181,"61B2-A1D2","other",2014,24,-2.49157786180818,NA,"rfid_mom","other"
"A1D2","4D10",0.363683240101253,"4D10-A1D2","other",2014,24,-2.49157786180818,NA,"rfid_mom","other"
"A1D2","4FCA",0.488376090241192,"4FCA-A1D2","other",2014,24,-2.49157786180818,NA,"rfid_mom","other"
