"","1731","377E","24E9","4ECA","39ED","B75C","BF04","4FE4","4C7B","41C1","22B0","29B2","076C","879F","EC1A","663E","D14D","7C6F","0758","F44A","DCCF","F377","D629","C5F2","15BF","80F1","5909","B8A2","1958","A24D","2D31","B1E3","44BD","ACF4","AA3C","CB2B","5939","0255","A5EF","A539"
"2D31",0.257142857142857,0.67741935483871,0.625,0.210526315789474,0.235294117647059,0.314285714285714,0.194444444444444,0.78125,0.625,0.484848484848485,0.46875,0.515151515151515,0.645161290322581,0.548387096774194,0.606060606060606,0.612903225806452,0.4375,0.342857142857143,0.733333333333333,0.838709677419355,0.34375,0.575757575757576,0.757575757575758,0.15625,0.0606060606060606,0.548387096774194,0.366666666666667,0.705882352941177,0.466666666666667,0.553191489361702,0,0.5625,0.228571428571429,0.0625,0.181818181818182,0.15625,0.09375,0.324324324324324,0.15625,0.032258064516129
"B1E3",0.259259259259259,0.75,0.555555555555556,0.285714285714286,0.230769230769231,0.384615384615385,0.178571428571429,0.620689655172414,0.615384615384615,0.56,0.321428571428571,0.6,0.576923076923077,0.461538461538462,0.592592592592593,0.6,0.5,0.321428571428571,0.68,0.46875,0.375,0.5,0.5,0.173913043478261,0.0869565217391304,0.52,0.476190476190476,0.548387096774194,0.416666666666667,0.4,0.5625,0,0.222222222222222,0.142857142857143,0.208333333333333,0.125,0.0416666666666667,0.258064516129032,0.125,0.1
"44BD",0.5,0.296296296296296,0.296296296296296,0.318181818181818,0.19047619047619,0.45,0.444444444444444,0.212121212121212,0.296296296296296,0.28,0.111111111111111,0.269230769230769,0.307692307692308,0.24,0.333333333333333,0.375,0.260869565217391,0.578947368421053,0.25,0.290322580645161,0.181818181818182,0.296296296296296,0.242424242424242,0.111111111111111,0.2,0.148148148148148,0.142857142857143,0.242424242424242,0.173913043478261,0.191489361702128,0.228571428571429,0.222222222222222,0,0.0625,0.222222222222222,0.333333333333333,0.285714285714286,0.391304347826087,0.428571428571429,0.0714285714285714
"ACF4",0.0588235294117647,0.0833333333333333,0.0833333333333333,0.111111111111111,0.142857142857143,0.111111111111111,0.0625,0.0333333333333333,0.0833333333333333,0.0952380952380952,0.105263157894737,0.0434782608695652,0.0869565217391304,0.0476190476190476,0.08,0.0909090909090909,0.111111111111111,0.105263157894737,0.0833333333333333,0.0333333333333333,0.133333333333333,0.04,0.0666666666666667,0.1,0,0.1,0.0714285714285714,0.0666666666666667,0.0588235294117647,0.0444444444444444,0.0625,0.142857142857143,0.0625,0,0,0.1,0.125,0.15,0.1,0
"AA3C",0.277777777777778,0.192307692307692,0.107142857142857,0.136363636363636,0.166666666666667,0.136363636363636,0.222222222222222,0.2,0.107142857142857,0.166666666666667,0.181818181818182,0.208333333333333,0.25,0.227272727272727,0.230769230769231,0.0740740740740741,0.19047619047619,0.238095238095238,0.192307692307692,0.2,0.222222222222222,0.192307692307692,0.15625,0.230769230769231,0.272727272727273,0.125,0,0.193548387096774,0,0.130434782608696,0.181818181818182,0.208333333333333,0.222222222222222,0,0,0.333333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0.1
"CB2B",0.235294117647059,0.16,0.16,0.15,0.266666666666667,0.277777777777778,0.25,0.172413793103448,0.16,0.3,0.2,0.173913043478261,0.217391304347826,0.25,0.2,0.227272727272727,0.277777777777778,0.263157894736842,0.16,0.214285714285714,0.25,0.16,0.166666666666667,0.272727272727273,0.2,0.19047619047619,0.0588235294117647,0.166666666666667,0.05,0.136363636363636,0.15625,0.125,0.333333333333333,0.1,0.333333333333333,0,0.2,0.238095238095238,0.272727272727273,0
"5939",0.266666666666667,0.08,0.08,0.105263157894737,0.0625,0.105263157894737,0.285714285714286,0.0666666666666667,0.08,0.0909090909090909,0.0476190476190476,0.0869565217391304,0.0833333333333333,0.0952380952380952,0.0769230769230769,0.0869565217391304,0.105263157894737,0.222222222222222,0.08,0.0666666666666667,0.125,0.125,0.0645161290322581,0.2,0.25,0.0952380952380952,0,0.0645161290322581,0,0.0666666666666667,0.09375,0.0416666666666667,0.285714285714286,0.125,0.166666666666667,0.2,0,0.142857142857143,0.5,0
"0255",0.222222222222222,0.28125,0.205882352941176,0.25,0.148148148148148,0.25,0.230769230769231,0.243243243243243,0.171428571428571,0.266666666666667,0.2,0.181818181818182,0.333333333333333,0.193548387096774,0.3125,0.21875,0.206896551724138,0.44,0.205882352941176,0.314285714285714,0.28,0.205882352941176,0.305555555555556,0.130434782608696,0.142857142857143,0.193548387096774,0.0344827586206897,0.236842105263158,0.0645161290322581,0.215686274509804,0.324324324324324,0.258064516129032,0.391304347826087,0.15,0.333333333333333,0.238095238095238,0.142857142857143,0,0.3,0.05
"A5EF",0.4,0.16,0.16,0.15,0.117647058823529,0.15,0.428571428571429,0.133333333333333,0.16,0.181818181818182,0.2,0.173913043478261,0.217391304347826,0.25,0.2,0.173913043478261,0.210526315789474,0.411764705882353,0.208333333333333,0.172413793103448,0.25,0.16,0.166666666666667,0.166666666666667,0.333333333333333,0.136363636363636,0,0.166666666666667,0,0.111111111111111,0.15625,0.125,0.428571428571429,0.1,0.333333333333333,0.272727272727273,0.5,0.3,0,0
"A539",0.0666666666666667,0.0909090909090909,0.0434782608695652,0,0,0.0588235294117647,0,0.0740740740740741,0.0909090909090909,0.105263157894737,0.0555555555555556,0.1,0.0952380952380952,0.0526315789473684,0.0869565217391304,0.0476190476190476,0,0.0555555555555556,0.0434782608695652,0.0357142857142857,0.0714285714285714,0.0434782608695652,0.0714285714285714,0.125,0,0,0.0833333333333333,0.0714285714285714,0.0666666666666667,0.0465116279069767,0.032258064516129,0.1,0.0714285714285714,0,0.1,0,0,0.05,0,0
