"from","to","weight","pair_type","from_role","to_role","year","pairID"
"AA3C","0A62",0.157894736842105,"mother-daughter","mother","daughter",2022,"0A62-AA3C"
"AA3C","0F3D",0.375,"mother-random-juvenile","mother","daughter",2022,"0F3D-AA3C"
"AA3C","0636",0.235294117647059,"mother-random-juvenile","mother","daughter",2022,"0636-AA3C"
"AA3C","F948",0.0714285714285714,"mother-random-juvenile","mother","daughter",2022,"AA3C-F948"
"5939","9907",0.2,"mother-random-juvenile","mother","daughter",2022,"5939-9907"
"5939","B0C8",0.0833333333333333,"mother-random-juvenile","mother","daughter",2022,"5939-B0C8"
"5939","0A62",0.142857142857143,"mother-random-juvenile","mother","daughter",2022,"0A62-5939"
"A816","9907",0.2,"mother-random-juvenile","mother","daughter",2022,"9907-A816"
"A816","B0C8",0.0833333333333333,"mother-daughter","mother","daughter",2022,"A816-B0C8"
"A816","0A62",0.0666666666666667,"mother-random-juvenile","mother","daughter",2022,"0A62-A816"
"A816","0F3D",0.0666666666666667,"mother-random-juvenile","mother","daughter",2022,"0F3D-A816"
"A816","0636",0.0714285714285714,"mother-random-juvenile","mother","daughter",2022,"0636-A816"
"9907","A24D",0.384615384615385,"mother-daughter","daughter","mother",2022,"9907-A24D"
"9907","F377",0.2,"mother-random-juvenile","daughter","mother",2022,"9907-F377"
"9907","663E",0.0588235294117647,"mother-random-juvenile","daughter","mother",2022,"663E-9907"
"A24D","B0C8",0.0833333333333333,"mother-random-juvenile","mother","daughter",2022,"A24D-B0C8"
"A24D","0A62",0.0666666666666667,"mother-random-juvenile","mother","daughter",2022,"0A62-A24D"
"F377","0A62",0.0666666666666667,"mother-random-juvenile","mother","daughter",2022,"0A62-F377"
"663E","B0C8",0.0833333333333333,"mother-random-juvenile","mother","daughter",2022,"663E-B0C8"
"663E","0A62",0.142857142857143,"mother-random-juvenile","mother","daughter",2022,"0A62-663E"
"39ED","0CE1",0.0689655172413793,"mother-random-juvenile","mother","daughter",2023,"0CE1-39ED"
"39ED","04DB",0.0434782608695652,"mother-random-juvenile","mother","daughter",2023,"04DB-39ED"
"39ED","04D3",0.0714285714285714,"mother-random-juvenile","mother","daughter",2023,"04D3-39ED"
"39ED","09B4",0.0416666666666667,"mother-random-juvenile","mother","daughter",2023,"09B4-39ED"
"39ED","10B4",0.0434782608695652,"mother-random-juvenile","mother","daughter",2023,"10B4-39ED"
"39ED","0739",0.166666666666667,"mother-random-juvenile","mother","daughter",2023,"0739-39ED"
"39ED","F1D5",0.0909090909090909,"mother-random-juvenile","mother","daughter",2023,"39ED-F1D5"
"39ED","0122",0.04,"mother-random-juvenile","mother","daughter",2023,"0122-39ED"
"39ED","0482",0.428571428571429,"mother-daughter","mother","daughter",2023,"0482-39ED"
"39ED","10B6",0.111111111111111,"mother-random-juvenile","mother","daughter",2023,"10B6-39ED"
"39ED","104E",0.125,"mother-random-juvenile","mother","daughter",2023,"104E-39ED"
"39ED","0BA0",0.133333333333333,"mother-random-juvenile","mother","daughter",2023,"0BA0-39ED"
"39ED","0DE4",0.125,"mother-random-juvenile","mother","daughter",2023,"0DE4-39ED"
"39ED","062C",0.166666666666667,"mother-random-juvenile","mother","daughter",2023,"062C-39ED"
"39ED","088C",0.0526315789473684,"mother-random-juvenile","mother","daughter",2023,"088C-39ED"
"F44A","0CE1",0.305555555555556,"mother-random-juvenile","mother","daughter",2023,"0CE1-F44A"
"F44A","04DB",0.428571428571429,"mother-random-juvenile","mother","daughter",2023,"04DB-F44A"
"F44A","04D3",0.533333333333333,"mother-random-juvenile","mother","daughter",2023,"04D3-F44A"
"F44A","0B04",0.333333333333333,"mother-random-juvenile","mother","daughter",2023,"0B04-F44A"
"F44A","09B4",0.366666666666667,"mother-daughter","mother","daughter",2023,"09B4-F44A"
"F44A","10B4",0.6,"mother-random-juvenile","mother","daughter",2023,"10B4-F44A"
"F44A","0122",0.05,"mother-random-juvenile","mother","daughter",2023,"0122-F44A"
"44BD","0739",0.25,"mother-random-juvenile","mother","daughter",2023,"0739-44BD"
"44BD","F1D5",0.111111111111111,"mother-random-juvenile","mother","daughter",2023,"44BD-F1D5"
"44BD","0122",0.0909090909090909,"mother-random-juvenile","mother","daughter",2023,"0122-44BD"
"44BD","0482",0.142857142857143,"mother-random-juvenile","mother","daughter",2023,"0482-44BD"
"44BD","10B6",0.333333333333333,"mother-random-juvenile","mother","daughter",2023,"10B6-44BD"
"44BD","104E",0.230769230769231,"mother-random-juvenile","mother","daughter",2023,"104E-44BD"
"44BD","0BA0",0.153846153846154,"mother-random-juvenile","mother","daughter",2023,"0BA0-44BD"
"44BD","0DE4",0.4,"mother-random-juvenile","mother","daughter",2023,"0DE4-44BD"
"44BD","062C",0.666666666666667,"mother-daughter","mother","daughter",2023,"062C-44BD"
"44BD","088C",0.0588235294117647,"mother-random-juvenile","mother","daughter",2023,"088C-44BD"
"C5F2","0CE1",0.0303030303030303,"mother-random-juvenile","mother","daughter",2023,"0CE1-C5F2"
"C5F2","0739",0.25,"mother-random-juvenile","mother","daughter",2023,"0739-C5F2"
"C5F2","F1D5",0.0714285714285714,"mother-random-juvenile","mother","daughter",2023,"C5F2-F1D5"
"C5F2","0122",0.208333333333333,"mother-random-juvenile","mother","daughter",2023,"0122-C5F2"
"C5F2","0482",0.0833333333333333,"mother-random-juvenile","mother","daughter",2023,"0482-C5F2"
"C5F2","10B6",0.181818181818182,"mother-random-juvenile","mother","daughter",2023,"10B6-C5F2"
"C5F2","104E",0.5,"mother-daughter","mother","daughter",2023,"104E-C5F2"
"C5F2","0BA0",0.25,"mother-random-juvenile","mother","daughter",2023,"0BA0-C5F2"
"C5F2","0DE4",0.333333333333333,"mother-random-juvenile","mother","daughter",2023,"0DE4-C5F2"
"C5F2","062C",0.25,"mother-random-juvenile","mother","daughter",2023,"062C-C5F2"
"C5F2","088C",0.15,"mother-random-juvenile","mother","daughter",2023,"088C-C5F2"
"CB2B","04DB",0.0434782608695652,"mother-random-juvenile","mother","daughter",2023,"04DB-CB2B"
"CB2B","04D3",0.0344827586206897,"mother-random-juvenile","mother","daughter",2023,"04D3-CB2B"
"CB2B","0B04",0.0666666666666667,"mother-random-juvenile","mother","daughter",2023,"0B04-CB2B"
"CB2B","0739",0.166666666666667,"mother-random-juvenile","mother","daughter",2023,"0739-CB2B"
"CB2B","F1D5",0.0909090909090909,"mother-random-juvenile","mother","daughter",2023,"CB2B-F1D5"
"CB2B","0122",0.181818181818182,"mother-random-juvenile","mother","daughter",2023,"0122-CB2B"
"CB2B","0482",0.111111111111111,"mother-random-juvenile","mother","daughter",2023,"0482-CB2B"
"CB2B","10B6",0.25,"mother-random-juvenile","mother","daughter",2023,"10B6-CB2B"
"CB2B","104E",0.125,"mother-random-juvenile","mother","daughter",2023,"104E-CB2B"
"CB2B","0BA0",0.0625,"mother-random-juvenile","mother","daughter",2023,"0BA0-CB2B"
"CB2B","0DE4",0.125,"mother-random-juvenile","mother","daughter",2023,"0DE4-CB2B"
"CB2B","062C",0.166666666666667,"mother-random-juvenile","mother","daughter",2023,"062C-CB2B"
"CB2B","088C",0.111111111111111,"mother-daughter","mother","daughter",2023,"088C-CB2B"
"0255","04DB",0.0476190476190476,"mother-random-juvenile","mother","daughter",2023,"0255-04DB"
"0255","09B4",0.0454545454545455,"mother-random-juvenile","mother","daughter",2023,"0255-09B4"
"0255","0739",0.25,"mother-daughter","mother","daughter",2023,"0255-0739"
"0255","F1D5",0.111111111111111,"mother-random-juvenile","mother","daughter",2023,"0255-F1D5"
"0255","0122",0.0434782608695652,"mother-random-juvenile","mother","daughter",2023,"0122-0255"
"0255","0482",0.142857142857143,"mother-random-juvenile","mother","daughter",2023,"0255-0482"
"0255","10B6",0.142857142857143,"mother-random-juvenile","mother","daughter",2023,"0255-10B6"
"0255","104E",0.0666666666666667,"mother-random-juvenile","mother","daughter",2023,"0255-104E"
"0255","0BA0",0.0714285714285714,"mother-random-juvenile","mother","daughter",2023,"0255-0BA0"
"0255","0DE4",0.166666666666667,"mother-random-juvenile","mother","daughter",2023,"0255-0DE4"
"0255","062C",0.25,"mother-random-juvenile","mother","daughter",2023,"0255-062C"
"0255","088C",0.0588235294117647,"mother-random-juvenile","mother","daughter",2023,"0255-088C"
"C809","0CE1",0.125,"mother-random-juvenile","mother","daughter",2023,"0CE1-C809"
"C809","04DB",0.0555555555555556,"mother-random-juvenile","mother","daughter",2023,"04DB-C809"
"C809","04D3",0.157894736842105,"mother-random-juvenile","mother","daughter",2023,"04D3-C809"
"C809","0B04",0.2,"mother-random-juvenile","mother","daughter",2023,"0B04-C809"
