"","1731","377E","4ECA","39ED","B75C","AC35","BF04","4FE4","4C7B","41C1","22B0","29B2","E063","EC1A","663E","D14D","7C6F","A539","80F1","CB2B","076C","879F","44BD","DCCF","15BF","F44A","758","F377","D629","5939","255","A5EF","24E9","AA3C","ACF4","C5F2","5909","B8A2","1958","A24D","2D31","B1E3"
"076C",0.525773195876289,0.602150537634409,0.441176470588235,0.438095238095238,0.462962962962963,0.211111111111111,0.442307692307692,0.555555555555556,0.561224489795918,0.530612244897959,0.494736842105263,0.459183673469388,0.19047619047619,0.603960396039604,0.509615384615385,0.52,0.461538461538462,0.303370786516854,0.504854368932039,0.239583333333333,0,0.548387096774194,0.353535353535354,0.419354838709677,0.303030303030303,0.551020408163265,0.65625,0.529411764705882,0.622448979591837,0.173913043478261,0.34,0.255102040816327,0.571428571428571,0.206521739130435,0.287234042553192,0.32258064516129,0.0963855421686747,0.206521739130435,0.119047619047619,0.234042553191489,0.212765957446809,0.170454545454545
"879F",0.440860215053763,0.5,0.414893617021277,0.427083333333333,0.469387755102041,0.20253164556962,0.416666666666667,0.590909090909091,0.527472527472527,0.563218390804598,0.523809523809524,0.449438202247191,0.146666666666667,0.574468085106383,0.554347826086957,0.516483516483517,0.468085106382979,0.275,0.54945054945055,0.280487804878049,0.548387096774194,0,0.333333333333333,0.404761904761905,0.306818181818182,0.533333333333333,0.542553191489362,0.494736842105263,0.576086956521739,0.205128205128205,0.333333333333333,0.297619047619048,0.458333333333333,0.243589743589744,0.304878048780488,0.297619047619048,0.132352941176471,0.2125,0.126760563380282,0.214285714285714,0.204819277108434,0.155844155844156
"44BD",0.409090909090909,0.404494382022472,0.481927710843373,0.476744186046512,0.522727272727273,0.25,0.555555555555556,0.382978723404255,0.417582417582418,0.431818181818182,0.268817204301075,0.352272727272727,0.206349206349206,0.468085106382979,0.461538461538462,0.471264367816092,0.438202247191011,0.295774647887324,0.378947368421053,0.319444444444444,0.353535353535354,0.333333333333333,0,0.421052631578947,0.438356164383562,0.361702127659574,0.421052631578947,0.434782608695652,0.40625,0.4,0.358024691358025,0.477611940298507,0.41304347826087,0.338461538461538,0.328767123287671,0.434782608695652,0.046875,0.10126582278481,0.0606060606060606,0.108433734939759,0.0975609756097561,0.0821917808219178
"DCCF",0.386363636363636,0.447058823529412,0.390804597701149,0.436781609195402,0.419354838709677,0.276923076923077,0.393258426966292,0.438202247191011,0.395604395604396,0.476190476190476,0.348837209302326,0.36046511627907,0.275862068965517,0.446808510638298,0.423913043478261,0.415730337078652,0.354838709677419,0.304347826086957,0.433333333333333,0.309859154929577,0.419354838709677,0.404761904761905,0.421052631578947,0,0.492753623188406,0.384615384615385,0.414893617021277,0.397849462365591,0.43010752688172,0.344262295081967,0.421052631578947,0.46969696969697,0.376344086021505,0.39344262295082,0.397058823529412,0.447761194029851,0.0317460317460317,0.164383561643836,0.0303030303030303,0.153846153846154,0.142857142857143,0.149253731343284
"15BF",0.416666666666667,0.290322580645161,0.35632183908046,0.386363636363636,0.372340425531915,0.35593220338983,0.406976744186047,0.288659793814433,0.291666666666667,0.315217391304348,0.228260869565217,0.266666666666667,0.290909090909091,0.33,0.376344086021505,0.351648351648352,0.294736842105263,0.403225806451613,0.326315789473684,0.384615384615385,0.303030303030303,0.306818181818182,0.438356164383562,0.492753623188406,0,0.23,0.313131313131313,0.336842105263158,0.3,0.385964912280702,0.363636363636364,0.516129032258065,0.25,0.413793103448276,0.4375,0.46875,0,0.025,0,0.0357142857142857,0.0365853658536585,0.0422535211267606
"F44A",0.42,0.662790697674419,0.355769230769231,0.464646464646465,0.504950495049505,0.170454545454545,0.469387755102041,0.72093023255814,0.633333333333333,0.565217391304348,0.545454545454545,0.489130434782609,0.160493827160494,0.625,0.589473684210526,0.489795918367347,0.505154639175258,0.208791208791209,0.552083333333333,0.189473684210526,0.551020408163265,0.533333333333333,0.361702127659574,0.384615384615385,0.23,0,0.681318681318681,0.612903225806452,0.719101123595506,0.2,0.333333333333333,0.258064516129032,0.557894736842105,0.193181818181818,0.223404255319149,0.24468085106383,0.133333333333333,0.265060240963855,0.173333333333333,0.264367816091954,0.333333333333333,0.182926829268293
"758",0.505050505050505,0.704545454545455,0.465346534653465,0.6,0.59,0.235955056179775,0.589473684210526,0.684782608695652,0.711111111111111,0.589473684210526,0.521276595744681,0.6,0.216867469879518,0.646464646464647,0.628865979381443,0.645161290322581,0.53,0.24468085106383,0.529411764705882,0.16504854368932,0.65625,0.542553191489362,0.421052631578947,0.414893617021277,0.313131313131313,0.681318681318681,0,0.670212765957447,0.68421052631579,0.238636363636364,0.285714285714286,0.319148936170213,0.648936170212766,0.230769230769231,0.311827956989247,0.362637362637363,0.135802469135802,0.204301075268817,0.144578313253012,0.206185567010309,0.236559139784946,0.195402298850575
"F377",0.505154639175258,0.580645161290323,0.510416666666667,0.520408163265306,0.529411764705882,0.215909090909091,0.541666666666667,0.652173913043478,0.677777777777778,0.557894736842105,0.48936170212766,0.620689655172414,0.166666666666667,0.616161616161616,0.614583333333333,0.612903225806452,0.485148514851485,0.252747252747253,0.577319587628866,0.231578947368421,0.529411764705882,0.494736842105263,0.434782608695652,0.397849462365591,0.336842105263158,0.612903225806452,0.670212765957447,0,0.602040816326531,0.247058823529412,0.32,0.301075268817204,0.56701030927835,0.252873563218391,0.293478260869565,0.315217391304348,0.0987654320987654,0.197802197802198,0.108433734939759,0.239130434782609,0.217391304347826,0.160919540229885
"D629",0.475247524752475,0.666666666666667,0.436893203883495,0.52,0.528846153846154,0.208791208791209,0.51,0.722222222222222,0.692307692307692,0.606382978723404,0.571428571428571,0.565217391304348,0.174418604651163,0.71578947368421,0.628865979381443,0.545454545454545,0.5,0.24468085106383,0.575757575757576,0.188118811881188,0.622448979591837,0.576086956521739,0.40625,0.43010752688172,0.3,0.719101123595506,0.68421052631579,0.602040816326531,0,0.224719101123595,0.35,0.333333333333333,0.648936170212766,0.230769230769231,0.297872340425532,0.333333333333333,0.135802469135802,0.28735632183908,0.17283950617284,0.285714285714286,0.277777777777778,0.181818181818182
"5939",0.209876543209877,0.222222222222222,0.2125,0.246913580246914,0.270588235294118,0.282608695652174,0.298701298701299,0.209302325581395,0.226190476190476,0.265822784810127,0.164556962025316,0.134146341463415,0.31578947368421,0.230769230769231,0.229885057471264,0.24390243902439,0.214285714285714,0.294117647058824,0.206896551724138,0.232142857142857,0.173913043478261,0.205128205128205,0.4,0.344262295081967,0.385964912280702,0.2,0.238636363636364,0.247058823529412,0.224719101123595,0,0.3125,0.520833333333333,0.209302325581395,0.355555555555556,0.339622641509434,0.377358490566038,0,0.0338983050847458,0,0.0645161290322581,0.0666666666666667,0.0192307692307692
