"from","to","weight","pair_type"
"F44A","076C",0.24,"other"
"F44A","EC1A",0.43421052631579,"other"
"F44A","7C6F",0.313432835820896,"other"
"F44A","D629",0.28169014084507,"other"
"F44A","C5F2",0.445945945945946,"other"
"F44A","C950",0.149253731343284,"other"
"F44A","A539",0.435483870967742,"other"
"F44A","DCCF",0.415584415584416,"other"
"F44A","ACF4",0.356164383561644,"other"
"F44A","15BF",0.477611940298507,"other"
"F44A","CB2B",0.0178571428571429,"other"
"2F8D","44BD",0.65,"other"
"2F8D","F377",0.592592592592593,"other"
"2F8D","4FE4",0.569620253164557,"other"
"2F8D","0D1B",0.5625,"other"
"2F8D","24E9",0.444444444444444,"other"
"2F8D","4ECA",0.4375,"other"
"2F8D","4C7B",0.518518518518518,"other"
"2F8D","22B0",0.12,"other"
"2F8D","E063",0.0833333333333333,"other"
"2F8D","076C",0.486842105263158,"other"
"2F8D","EC1A",0.535714285714286,"other"
"2F8D","7C6F",0.367088607594937,"other"
"2F8D","D629",0.337349397590361,"other"
"2F8D","C5F2",0.567901234567901,"other"
"2F8D","C950",0.328767123287671,"other"
"2F8D","A539",0.3625,"other"
"2F8D","DCCF",0.573170731707317,"other"
"2F8D","ACF4",0.383720930232558,"other"
"2F8D","15BF",0.451219512195122,"other"
"2F8D","AA3C",0.0694444444444444,"other"
"2F8D","204F",0.0422535211267606,"other"
"2F8D","9407",0.0422535211267606,"other"
"2F8D","80F1",0.0277777777777778,"other"
"2F8D","CB2B",0.0405405405405405,"other"
"2F8D","898A",0.0136986301369863,"other"
"2F8D","5939",0.0428571428571429,"other"
"44BD","F377",0.5375,"other"
"44BD","4FE4",0.532467532467532,"other"
"44BD","0D1B",0.545454545454545,"other"
"44BD","24E9",0.460526315789474,"other"
"44BD","4ECA",0.43421052631579,"other"
"44BD","4C7B",0.581081081081081,"other"
"44BD","22B0",0.130434782608696,"other"
"44BD","E063",0.0909090909090909,"other"
"44BD","076C",0.445945945945946,"other"
"44BD","EC1A",0.556962025316456,"other"
"44BD","7C6F",0.378378378378378,"other"
"44BD","D629",0.363636363636364,"other"
"44BD","C5F2",0.592105263157895,"other"
"44BD","C950",0.28169014084507,"other"
"44BD","A539",0.373333333333333,"other"
"44BD","DCCF",0.556962025316456,"other"
"44BD","ACF4",0.36144578313253,"other"
"44BD","15BF",0.448717948717949,"other"
"44BD","AA3C",0.0441176470588235,"other"
"44BD","204F",0.0303030303030303,"other"
"44BD","9407",0.0461538461538462,"other"
"44BD","80F1",0.0149253731343284,"other"
"44BD","CB2B",0.0142857142857143,"other"
"44BD","898A",0.0149253731343284,"other"
"44BD","5939",0.0307692307692308,"other"
"F377","4FE4",0.493506493506494,"other"
"F377","0D1B",0.506493506493506,"other"
"F377","24E9",0.52112676056338,"other"
"F377","4ECA",0.432432432432432,"other"
"F377","4C7B",0.540540540540541,"other"
"F377","22B0",0.102941176470588,"other"
"F377","E063",0.112903225806452,"other"
"F377","076C",0.529411764705882,"other"
"F377","EC1A",0.538461538461538,"other"
"F377","7C6F",0.394366197183099,"other"
"F377","D629",0.378378378378378,"other"
"F377","C5F2",0.493670886075949,"other"
"F377","C950",0.353846153846154,"other"
"F377","A539",0.298701298701299,"other"
"F377","DCCF",0.463414634146341,"other"
"F377","ACF4",0.392405063291139,"other"
"F377","15BF",0.392405063291139,"other"
"F377","AA3C",0.0793650793650794,"other"
"F377","204F",0.0483870967741935,"mother-daughter"
"F377","9407",0.0483870967741935,"other"
"F377","80F1",0.0317460317460317,"other"
"F377","CB2B",0.0461538461538462,"other"
"F377","898A",0.015625,"other"
"F377","5939",0.0491803278688525,"other"
"4FE4","0D1B",0.460526315789474,"other"
"4FE4","24E9",0.337662337662338,"other"
"4FE4","4ECA",0.364864864864865,"other"
"4FE4","4C7B",0.535211267605634,"other"
"4FE4","22B0",0.129032258064516,"other"
"4FE4","E063",0.0847457627118644,"other"
"4FE4","076C",0.434782608695652,"other"
"4FE4","EC1A",0.474358974358974,"other"
"4FE4","7C6F",0.382352941176471,"other"
"4FE4","D629",0.328767123287671,"other"
"4FE4","C5F2",0.527027027027027,"other"
"4FE4","C950",0.317460317460317,"other"
"4FE4","A539",0.338028169014085,"other"
"4FE4","DCCF",0.455696202531646,"other"
"4FE4","ACF4",0.265060240963855,"other"
"4FE4","15BF",0.438356164383562,"other"
"4FE4","AA3C",0.0327868852459016,"other"
"4FE4","9407",0.0169491525423729,"other"
"4FE4","CB2B",0.05,"other"
"4FE4","898A",0.0169491525423729,"other"
"4FE4","5939",0.0172413793103448,"other"
"0D1B","24E9",0.386666666666667,"other"
"0D1B","4ECA",0.5,"other"
"0D1B","4C7B",0.61764705882353,"other"
"0D1B","22B0",0.109375,"other"
"0D1B","E063",0.0483870967741935,"other"
"0D1B","076C",0.428571428571429,"other"
"0D1B","EC1A",0.589041095890411,"other"
"0D1B","7C6F",0.376811594202899,"other"
"0D1B","D629",0.361111111111111,"other"
"0D1B","C5F2",0.5,"other"
"0D1B","C950",0.292307692307692,"other"
"0D1B","A539",0.297297297297297,"other"
"0D1B","DCCF",0.487179487179487,"other"
"0D1B","ACF4",0.432432432432432,"other"
"0D1B","15BF",0.492957746478873,"other"
"0D1B","AA3C",0.0158730158730159,"other"
"0D1B","204F",0.0166666666666667,"other"
"0D1B","9407",0.0166666666666667,"other"
"0D1B","CB2B",0.0158730158730159,"other"
"0D1B","898A",0.0517241379310345,"other"
"0D1B","5939",0.0169491525423729,"other"
"24E9","4ECA",0.402985074626866,"other"
"24E9","4C7B",0.436619718309859,"other"
"24E9","22B0",0.166666666666667,"other"
"24E9","E063",0.0961538461538462,"other"
"24E9","076C",0.393939393939394,"other"
"24E9","EC1A",0.402597402597403,"other"
"24E9","7C6F",0.359375,"other"
"24E9","D629",0.285714285714286,"other"
"24E9","C5F2",0.376623376623377,"other"
"24E9","C950",0.357142857142857,"other"
"24E9","A539",0.23943661971831,"other"
"24E9","DCCF",0.402597402597403,"other"
"24E9","ACF4",0.306666666666667,"other"
"24E9","15BF",0.380281690140845,"other"
"24E9","AA3C",0.0980392156862745,"other"
"24E9","204F",0.0816326530612245,"other"
"24E9","9407",0.06,"other"
"24E9","80F1",0.0392156862745098,"other"
"24E9","CB2B",0.0566037735849057,"other"
"24E9","898A",0.0392156862745098,"other"
"24E9","5939",0.0612244897959184,"other"
"4ECA","4C7B",0.538461538461538,"other"
"4ECA","22B0",0.109090909090909,"other"
"4ECA","E063",0.0784313725490196,"other"
"4ECA","076C",0.5,"other"
"4ECA","EC1A",0.394736842105263,"other"
"4ECA","7C6F",0.349206349206349,"other"
"4ECA","D629",0.313432835820896,"other"
"4ECA","C5F2",0.444444444444444,"other"
"4ECA","C950",0.37037037037037,"other"
"4ECA","A539",0.228571428571429,"other"
"4ECA","DCCF",0.432432432432432,"other"
"4ECA","ACF4",0.297297297297297,"other"
"4ECA","15BF",0.352112676056338,"other"
"4ECA","AA3C",0.0588235294117647,"other"
"4ECA","9407",0.0625,"other"
"4ECA","80F1",0.0408163265306122,"other"
"4ECA","CB2B",0.0384615384615385,"other"
"4ECA","898A",0.0408163265306122,"other"
"4ECA","5939",0.0416666666666667,"other"
"4C7B","22B0",0.112903225806452,"other"
"4C7B","E063",0.0677966101694915,"other"
"4C7B","076C",0.462686567164179,"other"
"4C7B","EC1A",0.52,"other"
"4C7B","7C6F",0.476190476190476,"other"
"4C7B","D629",0.352112676056338,"other"
"4C7B","C5F2",0.555555555555556,"other"
"4C7B","C950",0.389830508474576,"other"
"4C7B","A539",0.27027027027027,"other"
"4C7B","DCCF",0.52,"other"
"4C7B","ACF4",0.368421052631579,"other"
"4C7B","15BF",0.386666666666667,"other"
"4C7B","AA3C",0.0508474576271186,"other"
"4C7B","204F",0.0172413793103448,"other"
"4C7B","9407",0.0535714285714286,"other"
"4C7B","80F1",0.0350877192982456,"other"
"4C7B","CB2B",0.0333333333333333,"other"
"4C7B","898A",0.0350877192982456,"other"
"4C7B","5939",0.0357142857142857,"other"
"22B0","E063",0.263157894736842,"other"
"22B0","076C",0.0350877192982456,"other"
"22B0","EC1A",0.171875,"other"
"22B0","7C6F",0.148936170212766,"other"
"22B0","D629",0.117647058823529,"other"
"22B0","C5F2",0.123076923076923,"other"
"22B0","C950",0.0238095238095238,"other"
"22B0","A539",0.222222222222222,"other"
"22B0","DCCF",0.0869565217391304,"other"
"22B0","ACF4",0.101694915254237,"other"
"22B0","15BF",0.120689655172414,"other"
"22B0","AA3C",0.0454545454545455,"other"
"22B0","CB2B",0.0952380952380952,"other"
"E063","076C",0.06,"other"
"E063","EC1A",0.0952380952380952,"other"
"E063","7C6F",0.116279069767442,"other"
"E063","D629",0.108695652173913,"other"
"E063","C5F2",0.0983606557377049,"other"
"E063","C950",0.0277777777777778,"other"
"E063","A539",0.13953488372093,"other"
