"","39ED","AC35","BF04","41C1","29B2","663E","D14D","758","9FB7","1731","377E","B75C","879F","2C18","F44A","2F8D","44BD","F377","4FE4","0D1B","24E9","4ECA","4C7B","22B0","E063","076C","EC1A","7C6F","D629","C5F2","C950","A539","DCCF","ACF4","15BF","AA3C","204F","9407","80F1","CB2B","898A","5939"
"C950",0.333333333333333,0.277777777777778,0.35593220338983,0.327272727272727,0.352941176470588,0.303571428571429,0.338983050847458,0.308823529411765,0.257575757575758,0.0425531914893617,0.333333333333333,0.404255319148936,0.395833333333333,0.326530612244898,0.149253731343284,0.328767123287671,0.28169014084507,0.353846153846154,0.317460317460317,0.292307692307692,0.357142857142857,0.37037037037037,0.389830508474576,0.0238095238095238,0.0277777777777778,0.358490566037736,0.27536231884058,0.240740740740741,0.166666666666667,0.303030303030303,0,0.172413793103448,0.294117647058824,0.258064516129032,0.3,0.125,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0909090909090909,0.0645161290322581,0.103448275862069
"A539",0.243243243243243,0.191176470588235,0.210526315789474,0.180555555555556,0.140845070422535,0.214285714285714,0.181818181818182,0.328947368421053,0.507936507936508,0.22,0.2,0.238095238095238,0.161764705882353,0.184615384615385,0.435483870967742,0.3625,0.373333333333333,0.298701298701299,0.338028169014085,0.297297297297297,0.23943661971831,0.228571428571429,0.27027027027027,0.222222222222222,0.13953488372093,0.150684931506849,0.388888888888889,0.215384615384615,0.242424242424242,0.4,0.172413793103448,0,0.408450704225352,0.451612903225806,0.40625,0.0434782608695652,0.0465116279069767,0,0.0227272727272727,0.0434782608695652,0,0.0232558139534884
"DCCF",0.454545454545455,0.364864864864865,0.493333333333333,0.381578947368421,0.346666666666667,0.381578947368421,0.3875,0.551282051282051,0.4375,0.0945945945945946,0.405405405405405,0.441176470588235,0.394366197183099,0.366197183098592,0.415584415584416,0.573170731707317,0.556962025316456,0.463414634146341,0.455696202531646,0.487179487179487,0.402597402597403,0.432432432432432,0.52,0.0869565217391304,0.078125,0.405405405405405,0.44578313253012,0.356164383561644,0.378378378378378,0.638888888888889,0.294117647058824,0.408450704225352,0,0.486486486486487,0.527777777777778,0.0461538461538462,0.015625,0.0483870967741935,0.0317460317460317,0.0303030303030303,0.0317460317460317,0.0491803278688525
"ACF4",0.275,0.318840579710145,0.342105263157895,0.301369863013699,0.181818181818182,0.233766233766234,0.328947368421053,0.275862068965517,0.567164179104478,0.183333333333333,0.36231884057971,0.294117647058824,0.236111111111111,0.242857142857143,0.356164383561644,0.383720930232558,0.36144578313253,0.392405063291139,0.265060240963855,0.432432432432432,0.306666666666667,0.297297297297297,0.368421052631579,0.101694915254237,0.0535714285714286,0.287671232876712,0.392405063291139,0.236111111111111,0.314285714285714,0.384615384615385,0.258064516129032,0.451612903225806,0.486486486486487,0,0.538461538461538,0.0740740740740741,0.0576923076923077,0.0377358490566038,0.0377358490566038,0.0545454545454545,0.0185185185185185,0.0588235294117647
"15BF",0.36,0.318840579710145,0.416666666666667,0.338028169014085,0.3,0.319444444444444,0.346666666666667,0.40506329113924,0.438356164383562,0.126984126984127,0.323943661971831,0.353846153846154,0.328358208955224,0.359375,0.477611940298507,0.451219512195122,0.448717948717949,0.392405063291139,0.438356164383562,0.492957746478873,0.380281690140845,0.352112676056338,0.386666666666667,0.120689655172414,0.0727272727272727,0.342857142857143,0.447368421052632,0.253521126760563,0.295774647887324,0.44,0.3,0.40625,0.527777777777778,0.538461538461538,0,0.0175438596491228,0,0.0185185185185185,0,0.0175438596491228,0.0185185185185185,0.0188679245283019
"AA3C",0.0526315789473684,0.0425531914893617,0.0344827586206897,0.06,0.0425531914893617,0,0.0350877192982456,0.0147058823529412,0.0677966101694915,0,0.04,0,0.0217391304347826,0.0227272727272727,0,0.0694444444444444,0.0441176470588235,0.0793650793650794,0.0327868852459016,0.0158730158730159,0.0980392156862745,0.0588235294117647,0.0508474576271186,0.0454545454545455,0,0.0612244897959184,0.0793650793650794,0.0930232558139535,0.0638297872340425,0.03125,0.125,0.0434782608695652,0.0461538461538462,0.0740740740740741,0.0175438596491228,0,0.3,0.444444444444444,0.3,0.6,0.0833333333333333,0.333333333333333
"204F",0,0,0,0.0204081632653061,0.0222222222222222,0,0,0.0153846153846154,0.0526315789473684,0,0.0208333333333333,0,0,0.024390243902439,0,0.0422535211267606,0.0303030303030303,0.0483870967741935,0,0.0166666666666667,0.0816326530612245,0,0.0172413793103448,0,0,0.0425531914893617,0.0483870967741935,0.0232558139534884,0.0444444444444444,0,0.0645161290322581,0.0465116279069767,0.015625,0.0576923076923077,0,0.3,0,0.111111111111111,0.111111111111111,0.181818181818182,0.111111111111111,0.125
"9407",0.0555555555555556,0.0222222222222222,0.0363636363636364,0.0204081632653061,0.0454545454545455,0,0.037037037037037,0.0153846153846154,0.0344827586206897,0,0.0425531914893617,0,0.0232558139534884,0.024390243902439,0,0.0422535211267606,0.0461538461538462,0.0483870967741935,0.0169491525423729,0.0166666666666667,0.06,0.0625,0.0535714285714286,0,0,0.0652173913043478,0.0317460317460317,0.0731707317073171,0.0444444444444444,0.0327868852459016,0.0645161290322581,0,0.0483870967741935,0.0377358490566038,0.0185185185185185,0.444444444444444,0.111111111111111,0,0.25,0.181818181818182,0.111111111111111,0.285714285714286
"80F1",0.0363636363636364,0,0.0178571428571429,0.0204081632653061,0.0222222222222222,0,0.0181818181818182,0.0153846153846154,0.0344827586206897,0,0.0208333333333333,0,0,0,0,0.0277777777777778,0.0149253731343284,0.0317460317460317,0,0,0.0392156862745098,0.0408163265306122,0.0350877192982456,0,0,0.0208333333333333,0.015625,0.0731707317073171,0.0444444444444444,0.0327868852459016,0.0645161290322581,0.0227272727272727,0.0317460317460317,0.0377358490566038,0,0.3,0.111111111111111,0.25,0,0.3,0.25,0.5
"CB2B",0.0344827586206897,0.0425531914893617,0.0344827586206897,0.0816326530612245,0.0208333333333333,0,0.0172413793103448,0.0298507462686567,0.05,0,0.0196078431372549,0,0.0217391304347826,0.0465116279069767,0.0178571428571429,0.0405405405405405,0.0142857142857143,0.0461538461538462,0.05,0.0158730158730159,0.0566037735849057,0.0384615384615385,0.0333333333333333,0.0952380952380952,0,0.0196078431372549,0.0793650793650794,0.0681818181818182,0.0638297872340425,0.03125,0.0909090909090909,0.0434782608695652,0.0303030303030303,0.0545454545454545,0.0175438596491228,0.6,0.181818181818182,0.181818181818182,0.3,0,0.181818181818182,0.333333333333333
